Model,Train_AUC,Val_AUC,Test_AUC,Val_AP,Threshold,Test_Coverage,Test_Avg_Return,Test_Cum_Return
Logistic,0.6547970766599285,0.5396808510638298,0.6306503810418624,0.570615872755661,0.7837468633778367,0.015306122448979591,0.015530275974715234,0.0465908279241457
Random Forest,0.9884397838594309,0.5338297872340425,0.5442112955423323,0.5285052270049146,0.7456257850342696,0.0,,0.0
Gradient Boosting,1.0,0.5230851063829788,0.4847061279883078,0.5476578439402453,0.9369556062363543,0.025510204081632654,0.0032575304503485573,0.016287652251742786
Xgboost,1.0,0.5225531914893617,0.5382607787869298,0.537825783191547,0.9674669247865676,0.00510204081632653,0.0615353909194527,0.0615353909194527
Lightgbm,1.0,0.5313829787234043,0.49692034659150225,0.5317811793982121,0.9898346931416202,0.0,,0.0
