date,open,high,low,close,volume,atr_14_pct,atr_vol_20,range_pct,dist_sma50_pct,macd_hist,bb_bw_20,vol_ratio_20,cmf_20,up_down_vol_ratio_20,ret_vol_corr_20,pct_dist_to_20_high,breakout_up_20,breakout_down_20,vwap_dist,vwap_slope_5,wick_to_body_ratio,inside_bar,engulfing,gap_pct,up_streak,down_streak,wick_up_streak_3,wick_down_streak_3,ret_skew_20,ret_kurt_20,dow,dow_sin,dow_cos,hour,hour_sin,hour_cos,y_reg,y_cls,vol_cv_20_log
2020-05-03 18:30:00,359.0,359.0,336.0,338.05,38837866.0,,,0.0680372725928115,,,,,,,,,0.0,0.0,-0.018295339044576555,,0.09785202863961408,0.0,0.0,,0,0,,,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,-0.05490417757187583,0,
2020-05-04 18:30:00,348.0,348.0,329.55,330.85,45071600.0,,,0.055765452622033945,,,,,,,,,0.0,0.0,-0.015717969059896728,,0.07580174927113338,0.0,0.0,0.029433515752107554,0,1,,,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,-0.030101118385461968,0,
2020-05-05 18:30:00,331.5,345.55,325.25,341.4,49953121.0,,,0.05946104276508481,,,,,,,,,0.0,0.0,0.011855364552459953,,1.0505050505049502,0.0,0.0,0.001964636542239611,1,0,0.0,2.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,-0.010360996823653183,0,
2020-05-06 18:30:00,337.0,342.9,333.7,336.75,27657193.0,,,0.027319970304379985,,,,,,,,,0.0,0.0,-0.0030591602111806385,,35.79999999985676,1.0,0.0,-0.012888107791446878,0,1,1.0,2.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,-0.02865815035343893,0,
2020-05-07 18:30:00,344.0,352.5,333.7,337.7,42970794.0,,,0.055670713651169546,,,,,,,,,0.0,0.0,-0.010547905068854415,,1.9841269841266655,0.0,1.0,0.0215293244246473,1,0,2.0,2.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,-0.045934828333605855,0,
2020-05-10 18:30:00,341.0,343.55,318.2,320.15,83666044.0,,,0.07918163360924549,,,,,,,,,0.0,0.0,-0.021845401772074585,-3.4099999999993087,0.21582733812948585,0.0,0.0,0.009771986970684043,0,1,3.0,0.0,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,-0.07051970313215437,0,
2020-05-11 18:30:00,318.3,324.4,308.0,321.2,69072372.0,,,0.05105853051058507,,,,,,,,,0.0,0.0,0.010486577181208141,-3.653333333332611,4.655172413791535,0.0,0.0,-0.005778541308761393,1,0,3.0,1.0,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,-0.06778200708332194,0,
2020-05-12 18:30:00,343.5,348.4,332.3,338.05,72818140.0,,,0.04762609081496795,,,,,,,,,0.0,0.0,-0.004515337423312781,0.4366666666665801,1.9541284403666137,0.0,0.0,0.0694271481942713,2,0,3.0,2.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,-0.10125315706195258,0,
2020-05-13 18:30:00,330.0,334.5,325.65,327.4,33999679.0,,,0.02703115455100793,,,,,,,,,0.0,0.0,-0.00541744721786245,-1.7199999999996491,2.4038461538452083,0.0,0.0,-0.023813045407484062,0,1,1.0,2.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,-0.07334003894950372,0,
2020-05-14 18:30:00,329.3,330.55,318.8,322.7,31829841.0,,,0.03641152773473803,,,,,,,,,0.0,0.0,-0.004063576976492954,-3.4566666666659804,0.7803030303029059,0.0,0.0,0.0058032987171656334,0,2,1.0,2.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,-0.1037280253401716,0,
2020-05-17 18:30:00,320.0,320.5,293.25,298.5,74034470.0,,,0.0912897822445558,,,,,,,,,0.0,0.0,-0.01836119484790341,-4.643333333332411,0.2674418604651039,0.0,0.0,-0.00836690424542913,0,3,1.0,2.0,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,-0.02012173913481668,0,
2020-05-18 18:30:00,307.05,311.5,297.1,300.3,61828639.0,,,0.04795204795204771,,,,,,,,,0.0,0.0,-0.008801848388161546,-2.979999999999388,1.133333333333162,1.0,0.0,0.02864321608040195,1,0,1.0,2.0,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.059438797771996,1,
2020-05-19 18:30:00,299.0,308.25,297.5,305.65,42239472.0,,,0.035170947161786245,,,,,,,,,0.0,0.0,0.006089532587228307,-7.156666666665229,0.6165413533833715,1.0,0.0,-0.0043290043290043516,2,0,2.0,2.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,0.06656069358400424,1,
2020-05-20 18:30:00,306.0,312.8,302.0,304.4,43076017.0,0.05175473322262754,,0.03547963206307482,,,,,,,,,0.0,0.0,-0.006527415143603112,-4.556666666665761,5.749999999996317,0.0,0.0,0.0011451006052675334,0,1,3.0,0.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,0.08614172917763759,1,
2020-05-21 18:30:00,301.0,307.7,285.55,291.05,80359014.0,0.05175473322262754,,0.07610376224016457,,,,,,,,,0.0,0.0,-0.012608843152776075,-5.84999999999883,1.2261306532662086,0.0,0.0,-0.01116951379763458,0,2,4.0,0.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,0.15274222499723397,1,
2020-05-25 18:30:00,296.05,297.9,290.0,292.7,46684636.0,0.05175473322262754,,0.02699009224461889,,,,,,,,,0.0,0.0,-0.002838973427208647,-2.10999999999958,1.3582089552234524,1.0,0.0,0.017179178835251614,1,0,4.0,1.0,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.17370305128050756,1,
2020-05-26 18:30:00,296.1,321.95,294.85,318.85,80543561.0,0.05175473322262754,,0.08499294339030854,,,,,,,,,0.0,0.0,0.02233741249398816,1.783333333332969,0.19120879120878131,0.0,0.0,0.011615989067304483,2,0,4.0,1.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,0.11209475265579569,1,
2020-05-27 18:30:00,322.25,329.75,320.75,326.85,66136528.0,0.05175473322262754,,0.02753556677374934,,,,,,,,,0.0,0.0,0.003274159717603702,4.39666666666579,0.9565217391302172,0.0,0.0,0.010663321310961161,3,0,2.0,1.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,0.06177000231091176,1,
2020-05-28 18:30:00,322.9,334.3,320.0,331.95,60488688.0,0.05175473322262754,,0.04307877692423548,,,,,,,,,0.0,0.0,0.009733840304182445,4.469999999999111,0.5801104972375042,0.0,1.0,-0.012085054306256794,4,0,2.0,1.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,0.07281149383717564,1,
2020-05-31 18:30:00,339.0,348.0,336.2,339.25,44025817.0,0.05175473322262754,,0.034782608695652105,,,0.20802067658029946,0.8039090402994926,-0.1717156359905463,1.5172053530504608,,-0.055013927576601514,0.0,0.0,-0.005569397625677937,9.276666666664822,46.19999999981525,0.0,0.0,0.02123813827383639,5,0,2.0,1.0,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,0.05831102280145419,1,0.27989649586659054
2020-06-01 18:30:00,337.0,350.0,332.5,348.4,47558564.0,0.05175473322262754,,0.05022962112514337,,,0.21633701640093997,0.8615571145874493,-0.10625070269408046,1.630522627281336,0.010726042280770873,-0.011631205673758896,0.0,0.0,0.01387137452711198,10.019999999998012,0.5350877192982018,0.0,1.0,-0.006632277081798064,6,0,1.0,1.0,-0.03961935495207725,3.304731089781392,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,-6.955304593985937e-05,0,0.2737251045226512
2020-06-02 18:30:00,357.9,373.0,353.8,356.85,69689849.0,0.05175473322262754,,0.05380411937788968,,,0.23547280716504623,1.2349432214042537,-0.11175563959067443,2.0127212542720834,0.013610651348148832,-0.04329758713136711,1.0,0.0,-0.0120887740506621,9.8666666666647,17.285714285698603,0.0,0.0,0.027267508610792114,7,0,1.0,1.0,-0.20426646397812948,3.364646843511026,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,-0.011347468483779703,0,0.27006194087824426
2020-06-03 18:30:00,357.0,363.0,345.5,347.85,57061955.0,0.05175473322262754,,0.05030904125341368,,,0.2399306875371574,1.004840738934738,-0.17380430519404275,1.6309539214027269,0.028434658429452062,-0.06742627345844479,0.0,0.0,-0.012117196005111705,5.266666666665598,0.9125683060108339,0.0,0.0,0.00042034468263969966,0,1,2.0,1.0,-0.016945629799830258,3.343159146014322,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,-0.01965600587048093,0,0.2676844581056748
2020-06-04 18:30:00,350.0,360.0,347.0,357.2,37251290.0,0.05089209075106548,,0.03639417693169083,,,0.25451693227950606,0.6504870272189359,-0.14569782370213463,1.8347989448824487,-0.050625441742661224,-0.042359249329758625,0.0,0.0,0.0069535801541062755,5.196666666665631,0.8055555555554466,1.0,0.0,0.006180825068276472,1,0,2.0,1.0,-0.16232256526115266,3.281107550494262,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,-0.0375729652249049,0,0.2559342826311462
2020-06-07 18:30:00,366.55,373.75,353.15,359.8,46827650.0,0.05100502513532272,,0.05725403001667583,,,0.2696661696056254,0.8149663553327936,-0.13816816873749635,1.844344979699625,-0.0551451201425316,-0.03732441471571893,0.0,0.0,-0.006717585350142625,4.2166666666658195,2.051851851851551,0.0,0.0,0.026175811870100773,2,0,2.0,1.0,-0.1804128738891739,3.2809367216666665,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,-0.08362787696323207,0,0.2531222059788592
