date,open,high,low,close,volume
2025-04-22 18:30:00,1297.0,1306.0,1285.4,1300.0,10480888.0
2025-04-23 18:30:00,1292.4,1304.5,1290.3,1301.6,10468940.0
2025-04-24 18:30:00,1303.5,1325.2,1288.1,1300.4,14431012.0
2025-04-27 18:30:00,1340.0,1374.6,1320.2,1368.8,31104496.0
2025-04-28 18:30:00,1371.0,1410.9,1370.0,1399.7,32538970.0
2025-04-29 18:30:00,1402.0,1412.4,1369.0,1405.0,25480745.0
2025-05-01 18:30:00,1414.0,1426.7,1409.1,1422.4,17535402.0
2025-05-04 18:30:00,1431.0,1439.5,1426.9,1431.3,12685649.0
2025-05-05 18:30:00,1431.0,1432.0,1410.6,1420.9,14084117.0
2025-05-06 18:30:00,1420.9,1424.4,1402.7,1406.0,13440169.0
2025-05-07 18:30:00,1404.1,1420.8,1398.0,1407.0,16106175.0
2025-05-08 18:30:00,1385.5,1394.8,1374.5,1377.2,13668904.0
2025-05-11 18:30:00,1400.0,1439.0,1400.0,1436.5,10674081.0
2025-05-12 18:30:00,1433.5,1447.7,1412.4,1415.7,11407896.0
2025-05-13 18:30:00,1420.0,1429.9,1415.5,1424.4,5570160.0
2025-05-14 18:30:00,1425.0,1461.4,1412.7,1454.2,20177211.0
2025-05-15 18:30:00,1453.2,1461.0,1447.3,1456.4,9036695.0
2025-05-18 18:30:00,1452.1,1454.6,1438.2,1440.8,6195791.0
2025-05-19 18:30:00,1438.2,1445.0,1421.8,1424.6,11270560.0
2025-05-20 18:30:00,1423.9,1436.2,1418.1,1429.2,6136364.0
2025-05-21 18:30:00,1421.2,1423.8,1396.9,1409.4,12134466.0
2025-05-22 18:30:00,1406.6,1433.8,1406.6,1426.8,6474883.0
2025-05-25 18:30:00,1432.0,1441.0,1425.1,1434.8,4842944.0
2025-05-26 18:30:00,1426.1,1437.0,1413.9,1422.1,12640414.0
2025-05-27 18:30:00,1420.1,1422.6,1410.7,1412.9,5944611.0
2025-05-28 18:30:00,1412.1,1420.0,1408.6,1417.8,13771917.0
2025-05-29 18:30:00,1418.0,1430.6,1409.7,1420.9,13788484.0
2025-06-01 18:30:00,1412.1,1417.5,1395.6,1413.7,8098668.0
2025-06-02 18:30:00,1422.3,1426.5,1403.4,1405.5,11252626.0
2025-06-03 18:30:00,1414.7,1425.7,1406.1,1423.5,8126827.0
2025-06-04 18:30:00,1428.0,1454.7,1423.6,1442.4,13716817.0
2025-06-05 18:30:00,1441.0,1451.5,1437.0,1443.5,8182161.0
2025-06-08 18:30:00,1457.0,1457.5,1445.3,1448.8,7885125.0
2025-06-09 18:30:00,1450.0,1453.9,1436.0,1438.5,7913181.0
2025-06-10 18:30:00,1445.8,1468.6,1443.1,1448.9,8195700.0
