,date,open,high,low,close,volume
0,2025-02-12 13:15:00+05:30,11498.25,11525.9,11481.05,11505.35,8526
1,2025-02-12 14:15:00+05:30,11505.0,11536.0,11462.5,11494.75,51703
2,2025-02-12 15:15:00+05:30,11496.8,11500.0,11456.3,11466.0,13838
3,2025-02-13 09:15:00+05:30,11500.0,11600.0,11422.2,11590.0,80386
4,2025-02-13 10:15:00+05:30,11590.0,11636.0,11585.5,11601.1,44459
5,2025-02-13 11:15:00+05:30,11601.2,11649.9,11590.0,11616.3,38560
6,2025-02-13 12:15:00+05:30,11616.3,11645.95,11580.9,11581.8,30830
7,2025-02-13 13:15:00+05:30,11582.35,11589.55,11537.35,11568.2,52773
8,2025-02-13 14:15:00+05:30,11568.2,11590.65,11540.0,11555.2,60740
9,2025-02-13 15:15:00+05:30,11555.95,11560.0,11505.45,11506.3,14026
10,2025-02-14 09:15:00+05:30,11589.0,11589.0,11384.7,11384.7,33106
11,2025-02-14 10:15:00+05:30,11384.0,11417.0,11265.1,11287.5,48285
12,2025-02-14 11:15:00+05:30,11287.5,11332.9,11253.8,11263.45,18624
13,2025-02-14 12:15:00+05:30,11262.95,11264.9,11200.0,11222.95,20590
14,2025-02-14 13:15:00+05:30,11222.95,11274.6,11182.0,11201.5,32919
15,2025-02-14 14:15:00+05:30,11201.5,11319.8,11201.35,11249.2,61482
16,2025-02-14 15:15:00+05:30,11250.25,11280.2,11230.05,11256.0,14841
17,2025-02-17 09:15:00+05:30,11219.0,11306.95,11043.4,11219.05,36990
18,2025-02-17 10:15:00+05:30,11220.05,11336.15,11217.6,11271.2,28172
19,2025-02-17 11:15:00+05:30,11271.2,11363.1,11244.0,11330.0,11325
20,2025-02-17 12:15:00+05:30,11330.0,11358.0,11294.3,11324.2,10884
21,2025-02-17 13:15:00+05:30,11324.2,11448.9,11315.0,11398.9,19010
22,2025-02-17 14:15:00+05:30,11404.25,11509.9,11402.65,11497.0,34198
23,2025-02-17 15:15:00+05:30,11496.9,11503.85,11459.8,11464.15,9656
