iter	Logloss
0	0.6811766143
1	0.6705409572
2	0.6589808347
3	0.6432943099
4	0.6368345427
5	0.6305515308
6	0.6241217564
7	0.6176618678
8	0.6074257961
9	0.6023951769
10	0.597379263
11	0.5836382381
12	0.5794269932
13	0.5741157894
14	0.5658782657
15	0.5578992729
16	0.5542068737
17	0.5451786454
18	0.54373732
19	0.5347110587
20	0.5274137429
21	0.52415749
22	0.5163123863
23	0.5128893384
24	0.5017740897
25	0.4975176156
26	0.4934843097
27	0.492241455
28	0.484993841
29	0.4747197202
30	0.4679259743
31	0.4638666425
32	0.4601731386
33	0.4506508325
34	0.4414071441
35	0.4381844912
36	0.4343116581
37	0.4255471528
38	0.4201713332
39	0.4150104352
40	0.4100117087
41	0.4051567955
42	0.3996348381
43	0.3968063678
44	0.393617481
45	0.3890571765
46	0.3842922832
47	0.3769667702
48	0.3744050264
49	0.3689752647
50	0.3620755374
51	0.357587627
52	0.3510137286
53	0.348755994
54	0.3445832346
55	0.3383689778
56	0.3347799693
57	0.330230615
58	0.3244033669
59	0.3207081769
60	0.3171210246
61	0.3135233564
62	0.3116000337
63	0.3100407464
64	0.30608184
65	0.3026968241
66	0.3011305034
67	0.2999728961
68	0.2966065237
69	0.2934883109
70	0.2886288038
71	0.2854730742
72	0.2824200647
73	0.2795368646
74	0.2767859314
75	0.2738838749
76	0.2720143199
77	0.2705546021
78	0.2677839356
79	0.2635762606
80	0.2609396577
81	0.25918832
82	0.2551959796
83	0.2538248045
84	0.2499618488
85	0.2488660344
86	0.2451161061
87	0.2426895244
88	0.2414835138
89	0.2379080376
90	0.2344192224
91	0.2329893495
92	0.2296148177
93	0.228201715
94	0.2256920636
95	0.2224920562
96	0.2204646617
97	0.2173823885
98	0.2143712555
99	0.211429315
100	0.2085537549
101	0.2057477364
102	0.2030029297
103	0.2003187282
104	0.1976914448
105	0.1960284093
106	0.1935004954
107	0.1910265152
108	0.1886039291
109	0.1862335652
110	0.1839112767
111	0.1816381322
112	0.1794104895
113	0.17723019
114	0.1750937551
115	0.1730009466
116	0.1709500679
117	0.1689424919
118	0.1669716367
119	0.1650368486
120	0.1638138273
121	0.1619362107
122	0.1600943506
123	0.1582876635
124	0.1565170033
125	0.1547795449
126	0.1530749883
127	0.1514010025
128	0.149761945
129	0.1481495053
130	0.1465662675
131	0.1450169086
132	0.1434961898
133	0.1420057565
134	0.1405442293
135	0.1391112634
136	0.1377049365
137	0.1363228325
138	0.1349653133
139	0.1336316083
140	0.1323212002
141	0.1310339421
142	0.1297671369
143	0.1285232306
144	0.1273006967
145	0.1260965126
146	0.1249079981
147	0.1237406049
148	0.1225920128
149	0.1214610828
150	0.1203427187
151	0.1192454547
152	0.1181638762
153	0.117097299
154	0.116050121
155	0.1150182486
156	0.1140025758
157	0.1130032571
158	0.1120200753
159	0.1110534295
160	0.1101042554
161	0.1091664721
162	0.1082420647
163	0.1073376377
164	0.1064461257
165	0.105568227
166	0.1047022598
167	0.1038488788
168	0.1030071878
169	0.1021771793
170	0.1013593429
171	0.1005529474
172	0.09975700187
173	0.09897294321
174	0.0981993952
175	0.0974360449
176	0.09668408121
177	0.09594165853
178	0.095209755
179	0.09448763302
180	0.09377546608
181	0.09307206529
182	0.09237897715
183	0.09169379409
184	0.09101882045
185	0.09035315258
186	0.08969596241
187	0.08904625901
188	0.08840652662
189	0.08777417349
190	0.08715148164
191	0.08653532394
192	0.08592713518
193	0.08532694727
194	0.08473508273
195	0.08414982046
196	0.08357195556
197	0.08300254813
198	0.08243919803
199	0.0818832687
200	0.08133493683
201	0.08079226421
202	0.08025693042
203	0.07972725374
204	0.07920561199
205	0.07868948153
206	0.07817957763
207	0.07767596096
208	0.07717849314
209	0.07668708584
210	0.07620175821
211	0.07572246449
212	0.07524764219
213	0.07477931998
214	0.07431690927
215	0.07385866025
216	0.07340709652
217	0.07296034587
218	0.07251568671
219	0.07207580656
220	0.0716411631
221	0.07120805766
222	0.07077871689
223	0.07035406892
224	0.06993706418
225	0.06952170495
226	0.06911360685
227	0.06870690307
228	0.0683068186
229	0.06791031999
230	0.06751918154
231	0.06713567887
232	0.0667553874
233	0.06638200794
234	0.06601198763
235	0.06564577456
236	0.06528427452
237	0.06492534599
238	0.06457075264
239	0.06421938326
240	0.06387283759
241	0.0635289337
242	0.06318896583
243	0.06285132574
244	0.06251646046
245	0.06218533537
246	0.06185528849
247	0.06152623466
248	0.06120342336
249	0.06088054659
250	0.0605590088
251	0.0602389292
252	0.05992441518
253	0.0596132784
254	0.05930335926
255	0.05899600951
256	0.05869619016
257	0.05839806582
258	0.0581035763
259	0.05781096167
260	0.05752069024
261	0.05723734253
262	0.05695701391
263	0.05667736967
264	0.05640088501
265	0.05612744072
266	0.05585557861
267	0.05558739762
268	0.0553199255
269	0.05505617123
270	0.05479313752
271	0.05453288555
272	0.0542757889
273	0.05401930958
274	0.05376645603
275	0.05351575358
276	0.05326622033
277	0.05302045973
278	0.05277452618
279	0.05253212899
280	0.05229102394
281	0.05205200027
282	0.05181583656
283	0.05157996821
284	0.05134711042
285	0.05111680339
286	0.05088776563
287	0.05065999499
288	0.05043567025
289	0.0502118133
290	0.04998976205
291	0.04977060695
292	0.04955169133
293	0.04933532594
294	0.04912179655
295	0.04890782067
296	0.04869726566
297	0.04848699485
298	0.04828014438
299	0.04807339928
300	0.04786947582
301	0.04766649221
302	0.04746530471
303	0.04726518957
304	0.04706683808
305	0.04687103629
306	0.04667537074
307	0.04648240549
308	0.04628946153
309	0.04609913805
310	0.04590976238
311	0.04572214984
312	0.04553611364
313	0.04535099438
314	0.04516764464
315	0.04498683768
316	0.04480522765
317	0.04462620137
318	0.04444786427
319	0.04427135416
320	0.04409638739
321	0.04392227052
322	0.04374907592
323	0.04357819525
324	0.04340824911
325	0.04323909166
326	0.04307217896
327	0.04290473568
328	0.04274024814
329	0.04257587024
330	0.04241374827
331	0.04225171517
332	0.04209199495
333	0.04193215924
334	0.04177471144
335	0.04161740254
336	0.04146206219
337	0.04130769148
338	0.04115398441
339	0.04100192498
340	0.04085039081
341	0.04069948516
342	0.04055047621
343	0.04040239858
344	0.04025598722
345	0.04010886539
346	0.03996389519
347	0.03982100742
348	0.039678208
349	0.03953517015
350	0.03939430575
351	0.03925444558
352	0.03911560561
353	0.03897749526
354	0.03884012891
355	0.03870403181
356	0.03856853023
357	0.03843382799
358	0.0383004179
359	0.03816844736
360	0.03803691321
361	0.03790612253
362	0.03777665805
363	0.03764612813
364	0.03751944165
365	0.03739168069
366	0.03726524647
367	0.03713937157
368	0.03701491494
369	0.03689097241
370	0.03676745455
371	0.03664632461
372	0.0365239137
373	0.03640372359
374	0.03628322269
375	0.03616408205
376	0.03604607444
377	0.03592884328
378	0.03581188992
379	0.03569566405
380	0.03558057227
381	0.03546600682
382	0.03535270957
383	0.03523851825
384	0.03512677923
385	0.03501575759
386	0.03490435917
387	0.03479416296
388	0.03468394918
389	0.0345762686
390	0.03446843688
391	0.03436083453
392	0.03425389528
393	0.03414804169
394	0.03404279426
395	0.03393712214
396	0.03383343135
397	0.03372881721
398	0.03362635842
399	0.03352069376
400	0.03341704075
401	0.03331257722
402	0.03320864641
403	0.03310458948
404	0.03300028986
405	0.03289862243
406	0.03279917208
407	0.0326941487
408	0.03259707242
409	0.03249810689
410	0.03240160697
411	0.03230541625
412	0.03221193595
413	0.03211732528
414	0.03202460174
415	0.03193142904
416	0.03183871561
417	0.0317469979
418	0.03165562185
419	0.03156459012
420	0.0314731566
421	0.03138511202
422	0.03129516595
423	0.03120606659
424	0.03111590498
425	0.03102492754
426	0.03093730445
427	0.03084650556
428	0.03075779495
429	0.03067025702
430	0.03057937484
431	0.03049113761
432	0.03040338893
433	0.03031532174
434	0.03022831599
435	0.03014186823
436	0.03005828017
437	0.02997384034
438	0.02989027223
439	0.02980839275
440	0.02972679851
441	0.02964551348
442	0.0295653141
443	0.02948515144
444	0.02940622398
445	0.02932659883
446	0.02924810456
447	0.02916908637
448	0.02909111897
449	0.02901340489
450	0.02893598537
451	0.02886020658
452	0.02878315534
453	0.028706458
454	0.02863126222
455	0.02855584584
456	0.02848058008
457	0.02840712108
458	0.0283315807
459	0.02825864724
460	0.02818508686
