date,open,high,low,close,volume,atr_14_pct,atr_vol_20,range_pct,dist_sma50_pct,macd_hist,bb_bw_20,vol_ratio_20,cmf_20,up_down_vol_ratio_20,ret_vol_corr_20,pct_dist_to_20_high,breakout_up_20,breakout_down_20,vwap_dist,vwap_slope_5,wick_to_body_ratio,inside_bar,engulfing,gap_pct,up_streak,down_streak,wick_up_streak_3,wick_down_streak_3,ret_skew_20,ret_kurt_20,dow,dow_sin,dow_cos,hour,hour_sin,hour_cos,y_reg,y_cls,vol_cv_20_log
2020-05-03 18:30:00,1966.0,1966.0,1913.65,1930.45,3729409.0,,,0.027118029474992818,,,,,,,,,0.0,0.0,-0.0032271389476945305,,0.47257383966243327,0.0,0.0,,0,0,,,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,0.002009216863326061,1,
2020-05-04 18:30:00,1955.1,1977.0,1927.0,1932.75,2905541.0,,,0.025869874531108512,,,,,,,,,0.0,0.0,-0.006596136548592809,,1.2371364653243386,0.0,0.0,0.01276904348726973,1,0,,,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.008129070222067812,1,
2020-05-05 18:30:00,1939.8,1953.7,1893.6,1903.6,3517432.0,,,0.031571758772851496,,,,,,,,,0.0,0.0,-0.0069728216453077505,,0.6602209944751215,0.0,0.0,0.0036476523088862767,0,1,2.0,0.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,0.02340303902159855,1,
2020-05-06 18:30:00,1910.0,1934.45,1883.35,1891.65,3166784.0,,,0.02701345386302969,,,,,,,,,0.0,0.0,-0.006042613561726726,,1.784741144414093,0.0,0.0,0.003362050851019168,0,2,3.0,0.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,0.005140499930718662,1,
2020-05-07 18:30:00,1939.1,1939.5,1886.25,1893.4,2686536.0,,,0.028124009717967663,,,,,,,,,0.0,0.0,-0.006810452602222125,,0.16520787746170779,0.0,0.0,0.02508392144424169,1,0,3.0,1.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,-0.0007641100826169852,0,
2020-05-10 18:30:00,1909.0,1951.4,1909.0,1935.3,2449846.0,,,0.021908747997726487,,,,,,,,,0.0,0.0,0.0017599254619804802,-0.9599999999998443,0.6121673003802112,0.0,0.0,0.008239146508925689,2,0,3.0,1.0,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,0.004808059565542141,1,
2020-05-11 18:30:00,1933.4,1956.5,1910.25,1949.5,3256630.0,,,0.023724031803026405,,,,,,,,,0.0,0.0,0.005544809800128946,-1.3666666666663327,1.8726708074533163,0.0,0.0,-0.0009817599338603124,3,0,1.0,1.0,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,-0.0009361043128004604,0,
2020-05-12 18:30:00,1994.0,1994.0,1925.65,1949.65,2656665.0,,,0.03505757443643724,,,,,,,,,0.0,0.0,-0.003467193702826555,7.893333333331761,0.5411499436302031,0.0,0.0,0.022826365734803785,4,0,1.0,2.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,0.001523955087886239,1,
2020-05-13 18:30:00,1910.0,1923.1,1891.1,1902.35,2263204.0,,,0.016821299971088385,,,,,,,,,0.0,0.0,-0.0016618414953072853,0.47333333333308103,3.1830065359472464,0.0,0.0,-0.020336983561152037,0,1,1.0,2.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,0.04514750805267032,1,
2020-05-14 18:30:00,1916.0,1917.4,1865.2,1892.9,3173682.0,,,0.0275767341116805,,,,,,,,,0.0,0.0,0.0005638269755969516,-2.9099999999993633,1.259740259740216,0.0,0.0,0.007175335768917436,0,2,1.0,2.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,0.06466071910075961,1,
2020-05-17 18:30:00,1907.0,1952.95,1872.1,1945.6,3727896.0,,,0.04155530427631584,,,,,,,,,0.0,0.0,0.011463180057705776,-1.6699999999996478,1.094559585492208,0.0,0.0,0.007448887949706747,1,0,1.0,2.0,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,-0.0018372423944077658,0,
2020-05-18 18:30:00,1903.0,1966.45,1903.0,1948.65,3198699.0,,,0.032561003771842054,,,,,,,,,0.0,0.0,0.00478678606417901,0.12333333333333292,0.3899233296823555,0.0,0.0,-0.02189555921052626,2,0,1.0,2.0,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.028156850373136307,1,
2020-05-19 18:30:00,1950.0,1962.9,1931.7,1953.6,2778505.0,,,0.015970515970515988,,,,,,,,,0.0,0.0,0.0021545090797166246,-1.4066666666663337,7.666666666664768,1.0,0.0,0.0006927873142944645,3,0,1.0,2.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,0.025121048243101154,1,
2020-05-20 18:30:00,1946.0,1998.0,1941.15,1991.2,3400925.0,0.0274923243540033,,0.028550622740056188,,,,,,,,,0.0,0.0,0.007292992825043972,14.253333333330616,0.2577433628318494,0.0,0.0,-0.003890253890253842,4,0,1.0,1.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,-0.010011746852344726,0,
2020-05-21 18:30:00,1977.1,2032.0,1961.25,2020.35,3663422.0,0.027661590152271633,,0.035018684881332425,,,,,,,,,0.0,0.0,0.00789044831714765,22.539999999995548,0.6358381502890026,0.0,0.0,-0.0070811570912013505,5,0,1.0,1.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,0.011749267680874163,1,
2020-05-25 18:30:00,2015.0,2024.0,1925.0,1943.0,4575512.0,0.028059526471998456,,0.0509521358723623,,,,,,,,,0.0,0.0,-0.010692464358452133,8.08999999999839,0.37499999999999484,0.0,0.0,-0.002648056029895764,0,1,1.0,2.0,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.051715411566908155,1,
2020-05-26 18:30:00,1959.0,2010.0,1941.25,2005.3,3482185.0,0.028059526471998456,,0.034284147010422365,,,,,,,,,0.0,0.0,0.00996382133953377,9.229999999998126,0.4848812095032307,1.0,0.0,0.008234688625836331,1,0,0.0,3.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,0.019666303124251137,1,
2020-05-27 18:30:00,1988.5,2014.0,1971.3,2004.3,3475788.0,0.028059526471998456,,0.021304195978645926,,,,,,,,,0.0,0.0,0.003890076131961944,9.426666666664756,1.7025316455695232,0.0,0.0,-0.00837779883309228,0,1,0.0,4.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,0.04211054528431483,1,
2020-05-28 18:30:00,1982.0,2002.65,1962.4,1972.35,7237765.0,0.028059526471998456,,0.020407128552234637,,,,,,,,,0.0,0.0,-0.0034274261461245494,0.4699999999998423,3.1709844559581812,0.0,0.0,-0.011126078930299828,0,2,1.0,4.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,0.037260044820886615,1,
2020-05-31 18:30:00,1990.0,2060.0,1981.1,2045.25,3747850.0,0.028059526471998456,,0.038577191052438606,,,0.09109307786935296,1.084851080862328,0.04150181961280761,1.3846942267808875,,-0.007160194174757278,1.0,0.0,0.008116523039259882,4.84999999999903,0.4280542986425278,0.0,0.0,0.008948715998681817,1,0,2.0,4.0,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,0.012373629335344328,1,0.26308811225296297
2020-06-01 18:30:00,2060.2,2081.0,2040.05,2047.15,2443886.0,0.028059526471998456,,0.020003419387929572,,,0.10031214023083503,0.7208172667620064,0.03844419496042289,1.473854062983272,-0.20121534962349596,-0.016266218164344013,0.0,0.0,-0.0043367595084466935,18.413333333329728,2.137931034482664,0.0,0.0,0.007309619850873884,2,0,3.0,0.0,-0.17093056890608752,2.860658088478005,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.011589873418002288,1,0.2723360553208934
2020-06-02 18:30:00,2051.85,2063.75,2020.0,2046.15,3699799.0,0.027902775740133744,,0.021381619138381828,,,0.10725595648207416,1.0786112580393885,0.08115046034200993,1.2051779484426308,-0.20676738180850238,-0.016746756367131136,0.0,0.0,0.0013948025253267436,11.556666666664348,6.675438596490301,0.0,0.0,0.00229587475270489,0,1,3.0,1.0,-0.15712902926485384,2.8504254443846584,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,0.029635376252939098,1,0.26862595519136695
2020-06-03 18:30:00,2046.75,2100.0,2046.75,2091.55,4048593.0,0.02718634640573363,,0.0254595873873443,,,0.11791541674461319,1.1712277395901987,0.1544497979343718,1.5055390708225638,-0.17283403212744639,-0.004023809523809436,1.0,0.0,0.005826907971723121,16.579999999996655,0.18861607142856238,0.0,0.0,0.0002932336338977635,1,0,3.0,1.0,-0.35890996331018554,2.972078257519212,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,-0.011992721227166197,0,0.2687937469615764
2020-06-04 18:30:00,2091.6,2098.0,2040.3,2048.25,3573299.0,0.027790303106270453,,0.028170389356767984,,,0.11588366204178974,1.0276858495804047,0.1470674829975478,1.48368032071375,-0.181662681016486,-0.024642857142857133,0.0,0.0,-0.006756592931440005,16.609999999996713,0.3310265282583584,0.0,0.0,2.390571585653086e-05,0,1,1.0,1.0,-0.31818837934418864,2.657261529506717,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,-0.004781090264310936,0,0.266986694784081
