Model,Train_AUC,Val_AUC,Test_AUC,Val_AP,Threshold,Test_Coverage,Test_Avg_Return,Test_Cum_Return
Logistic,0.605766545116644,0.4617011295690958,0.5041076030927836,0.5259543469511636,0.4257722293212809,0.5391891891891892,0.0021294321512976343,0.8496434283677561
Random Forest,0.740309718397696,0.4856551426295058,0.5179680178069354,0.5631466423409739,0.598106189036184,0.006756756756756757,0.0176443413900791,0.0882217069503955
Gradient Boosting,0.7531378335480083,0.48870058600585264,0.5299686621368322,0.5668845526463141,0.5756538958823114,0.0445945945945946,0.011665876531116025,0.3849739255268288
Xgboost,0.7490118936635523,0.47873774190425844,0.5153760543580131,0.5598536337741766,0.5613157570362091,0.06351351351351352,0.007801385080975403,0.3666650988058439
Lightgbm,0.7501422650756338,0.5069844153716707,0.5083323570759137,0.5695733605543389,0.5689243941031061,0.041891891891891894,0.006571957559151129,0.203730684333685
