date,open,high,low,close,volume,atr_14_pct,atr_vol_20,range_pct,dist_sma50_pct,macd_hist,bb_bw_20,vol_ratio_20,cmf_20,up_down_vol_ratio_20,ret_vol_corr_20,pct_dist_to_20_high,breakout_up_20,breakout_down_20,vwap_dist,vwap_slope_5,wick_to_body_ratio,inside_bar,engulfing,gap_pct,up_streak,down_streak,wick_up_streak_3,wick_down_streak_3,ret_skew_20,ret_kurt_20,dow,dow_sin,dow_cos,hour,hour_sin,hour_cos,y_reg,y_cls,vol_cv_20_log
2020-05-03 18:30:00,478.8,480.0,458.8,461.5,26722354.0,,,0.04593716143011905,,,,,,,,,0.0,0.0,-0.01128329643647784,,0.22543352601154623,0.0,0.0,,0,0,,,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,-0.008331234279857084,0,
2020-05-04 18:30:00,469.0,472.0,454.0,455.7,29674380.0,,,0.03949967083607628,,,,,,,,,0.0,0.0,-0.010566693204024022,,0.3533834586465888,0.0,0.0,0.016251354279523258,0,1,,,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,-0.011310916104215618,0,
2020-05-05 18:30:00,459.5,475.0,452.8,473.2,33786280.0,,,0.046914623837700634,,,,,,,,,0.0,0.0,0.013276231263383243,,0.6204379562043348,0.0,1.0,0.00833881939872724,1,0,1.0,1.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,-0.02056470728280044,0,
2020-05-06 18:30:00,470.2,471.6,460.7,462.5,21832006.0,,,0.023567567567567588,,,,,,,,,0.0,0.0,-0.005233725265271125,,0.41558441558436815,1.0,0.0,-0.006339814032121711,0,1,1.0,2.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,-0.0350354897574342,0,
2020-05-07 18:30:00,471.0,472.0,462.6,464.5,20807494.0,,,0.020236813778256094,,,,,,,,,0.0,0.0,-0.0040025730826959045,,0.446153846153774,0.0,0.0,0.018378378378378336,1,0,0.0,3.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,-0.045411795955836595,0,
2020-05-10 18:30:00,468.5,477.0,457.0,457.9,28550784.0,,,0.04367765887748407,,,,,,,,,0.0,0.0,-0.013075651986493367,-0.5599999999998789,0.886792452830101,0.0,1.0,0.008611410118406871,0,1,1.0,3.0,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,-0.09095194121489701,0,
2020-05-11 18:30:00,450.5,454.7,435.6,450.8,49568648.0,,,0.04236912156166797,,,,,,,,,0.0,0.0,0.00842591902169868,-2.7066666666661305,62.66666666645526,0.0,0.0,-0.016160733784669055,0,2,1.0,3.0,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,-0.08252263152891343,0,
2020-05-12 18:30:00,475.5,480.0,461.0,463.8,44347108.0,,,0.040965933592065455,,,,,,,,,0.0,0.0,-0.009538724373576233,0.2533333333332796,0.6239316239315722,0.0,0.0,0.0547914818101152,1,0,1.0,1.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,-0.07942934178195457,0,
2020-05-13 18:30:00,449.0,455.5,445.0,446.8,39554890.0,,,0.023500447627573803,,,,,,,,,0.0,0.0,-0.005121353818748621,-3.166666666666041,3.7727272727255823,0.0,0.0,-0.03191030616645101,0,1,2.0,1.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,-0.039291082986635556,0,
2020-05-14 18:30:00,445.2,446.2,437.5,444.1,24349740.0,,,0.01959018239135323,,,,,,,,,0.0,0.0,0.0033890646181652497,-4.753333333332357,6.9090909090848625,0.0,0.0,-0.00358102059086844,0,2,2.0,1.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,-0.05772464383023712,0,
2020-05-17 18:30:00,444.0,444.0,415.6,418.3,46653312.0,,,0.06789385608414991,,,,,,,,,0.0,0.0,-0.017998278425541903,-7.59999999999848,0.10505836575875038,0.0,0.0,-0.00022517451024549087,0,3,2.0,2.0,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,0.018209841216363896,1,
2020-05-18 18:30:00,430.4,433.6,413.0,415.3,47461122.0,,,0.049602696845653674,,,,,,,,,0.0,0.0,-0.012679293129408093,-5.279999999998928,0.364238410596007,0.0,0.0,0.028926607697824375,0,4,1.0,2.0,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.08373845339719499,1,
2020-05-19 18:30:00,418.2,432.0,416.1,428.6,40014826.0,,,0.03709752683154442,,,,,,,,,0.0,0.0,0.007127751233649297,-8.53999999999829,0.5288461538460958,1.0,0.0,0.006982903924873513,1,0,2.0,2.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,0.09722528171333078,1,
2020-05-20 18:30:00,430.7,442.0,426.2,429.8,48479366.0,0.03906420518305064,,0.03676128431828751,,,,,,,,,0.0,0.0,-0.006625577812018622,-3.2866666666659987,16.555555555537616,0.0,0.0,0.004899673355109568,2,0,3.0,0.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,0.10117761366044714,1,
2020-05-21 18:30:00,425.0,435.2,416.5,419.4,42051698.0,0.03906420518305064,,0.04458750596089638,,,,,,,,,0.0,0.0,-0.010148690110927545,-3.779999999999262,2.339285714285281,0.0,0.0,-0.011167985109353186,0,1,4.0,0.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,0.16280545844325972,1,
2020-05-25 18:30:00,428.5,435.9,424.4,426.2,38005178.0,0.03906420518305064,,0.026982637259502517,,,,,,,,,0.0,0.0,-0.006140691799455856,0.5733333333332088,3.999999999998236,0.0,0.0,0.02169766332856462,1,0,5.0,0.0,,,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.1601988790907585,1,
2020-05-26 18:30:00,430.0,454.9,428.6,451.8,56026454.0,0.03906420518305064,,0.05821159805223527,,,,,,,,,0.0,0.0,0.015052797124241813,4.893333333332338,0.20642201834861168,0.0,0.0,0.008916001877053032,2,0,6.0,0.0,,,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,0.12282566174033095,1,
2020-05-27 18:30:00,460.0,475.0,457.0,472.6,75489852.0,0.03906420518305064,,0.03808717731696987,,,,,,,,,0.0,0.0,0.009397693293464262,8.52666666666497,0.42857142857139197,0.0,0.0,0.018149623727312904,3,0,6.0,1.0,,,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,0.0574574550330812,1,
2020-05-28 18:30:00,472.0,477.5,461.7,475.8,53025200.0,0.03906420518305064,,0.03320722992854135,,,,,,,,,0.0,0.0,0.00876325088339207,7.79999999999844,3.1578947368412646,0.0,0.0,-0.001269572577232377,4,0,6.0,2.0,,,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,0.08196483742428164,1,
2020-05-31 18:30:00,487.5,497.5,483.0,493.8,39190746.0,0.03906420518305064,,0.029364115026326385,,,0.1935822140590722,0.9729682851966955,-0.07235784552418564,1.3623814478148364,,-0.007437185929648203,1.0,0.0,0.004815844807705473,13.546666666663949,1.301587301587091,0.0,0.0,0.024590163934426153,5,0,0.0,3.0,,,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,0.02785087066740268,1,0.28572409592129494
2020-06-01 18:30:00,493.4,502.5,487.6,500.5,41623818.0,0.03906420518305064,,0.029770229770229664,,,0.21582820837701344,1.0146051939886251,-0.009659444311555122,1.488630309722958,0.33962507495557104,-0.003980099502487554,1.0,0.0,0.0073124916141152066,13.606666666663939,1.09859154929561,0.0,0.0,-0.0008100445524504521,6,0,0.0,4.0,-0.11113048002146175,2.4949456151880143,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,-0.014382126164097127,0,0.27405239711896806
2020-06-02 18:30:00,510.0,523.1,507.7,511.1,50546134.0,0.039019737553683216,,0.03013108980630014,,,0.24344961041383603,1.2015273909960869,-0.01436160637310757,1.8043413320747599,0.3346136694063133,-0.02294016440451152,1.0,0.0,-0.005577534211038333,13.77333333333059,12.999999999987923,0.0,0.0,0.018981018981018942,7,0,1.0,4.0,-0.2657014094713128,2.5512230359774417,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,-0.030690972279145794,0,0.26585755930040245
2020-06-03 18:30:00,514.0,519.5,495.6,500.8,54278956.0,0.03906420518305064,,0.04772364217252382,,,0.25653780083303956,1.2595809998864174,-0.08243874071771594,1.4325558000719592,0.3372946110784131,-0.042630472185050595,0.0,0.0,-0.008905600633287138,7.419999999998509,0.810606060605999,0.0,0.0,0.005674036392095424,0,1,2.0,4.0,-0.08027072011279136,2.574509895172527,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,-0.03400227037670529,0,0.26246515050076924
2020-06-04 18:30:00,501.6,521.2,501.4,516.7,35196206.0,0.03906420518305064,,0.038320108380104564,,,0.2804838419559689,0.804281081146893,-0.04253902127712846,1.632489456540554,0.24130880616162106,-0.012234754349072768,0.0,0.0,0.007016176183979761,8.286666666664999,0.3112582781456773,0.0,0.0,0.0015974440894568885,1,0,3.0,0.0,-0.2795368749663427,2.6423142238285817,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,-0.050703975206060264,0,0.2440394198155694
2020-06-07 18:30:00,530.0,533.3,503.2,508.0,49812724.0,0.03906420518305064,,0.05925196850393682,,,0.29458307167222597,1.1017750434597289,-0.06498449873172342,1.3653404032439163,0.2428677684433455,-0.04744046502906414,0.0,0.0,-0.013272903852379458,4.679999999999082,0.3681818181817999,0.0,0.0,0.02574027482097915,0,1,3.0,1.0,-0.18101473282208305,2.477138690169018,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,-0.06787719202340582,0,0.2155566661368911
2020-06-08 18:30:00,510.0,513.4,489.8,493.6,61845788.0,0.03906420518305064,,0.047811993517017655,,,0.299704407662855,1.319346179318465,-0.07968759759438898,1.255952666355995,0.10549995584670846,-0.07444215263453939,0.0,0.0,-0.010689470871191929,0.41333333333327266,0.43902439024387563,0.0,0.0,0.00393700787401574,0,2,3.0,2.0,-0.15407496617224725,2.3253879402312387,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.0027362487792083248,1,0.20626992911174735
